Manager,Institution,Country,Vehicle,Amount (US$m),Year,Evidence type,In the 353-name universe,Universe name,Universe tier,Universe priority (1-5),Universe decision-maker,Universe consultant,Source,Read on
Axiom Asia Private Capital,Rotary Foundation Annual Fund,US,not named in source,,,Preqin or Dakota,Yes,Rotary Foundation Annual Fund,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Rotary Foundation Endowment Fund,US,not named in source,,,Preqin or Dakota,Yes,Rotary Foundation Endowment Fund,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Santa Barbara Cottage Hospital Foundation,US,not named in source,,,Preqin or Dakota,Yes,Santa Barbara Cottage Hospital Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Santa Clara University Endowment,US,not named in source,,,Preqin or Dakota,Yes,Santa Clara University Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Securian Asset Management,US,not named in source,,,Preqin or Dakota,Yes,Securian Asset Management,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Securian Financial Group Retirement Plan,US,not named in source,,,Preqin or Dakota,Yes,Securian Financial Group Retirement Plan,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,"Securian Financial Group, Inc. Retirement Plan",US,Axiom Asia Private Capital Fund II,0.63,2024,public holdings schedule,Yes,Securian Financial Group Retirement Plan,2,3,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/09/12/20250912101937NAL0000728515001.pdf,2026-09-19
Axiom Asia Private Capital,"Securian Financial Group, Inc. Retirement Plan",US,Axiom Asia Private Capital Fund III,2.63,2024,public holdings schedule,Yes,Securian Financial Group Retirement Plan,2,3,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/09/12/20250912101937NAL0000728515001.pdf,2026-09-19
Axiom Asia Private Capital,Skillman Foundation,US,not named in source,,,Preqin or Dakota,Yes,Skillman Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Sobrato Family Foundation,US,not named in source,,,Preqin or Dakota,Yes,Sobrato Family Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,State Teachers Retirement System of Ohio,US,not named in source,,2024,annual report,Yes,State Teachers' Retirement System of Ohio,1,5,,,https://ohioauditor.gov/auditsearch/Reports/2025/State_Teachers_Retirement_System_Of_Ohio_2024_Franklin_FINAL.pdf,2026-09-19
Axiom Asia Private Capital,State Teachers Retirement System of Ohio,US,"Axiom Asia IV, L.P.",,2016,trade press,Yes,State Teachers' Retirement System of Ohio,1,5,,,https://www.avcj.com/avcj/news/3013096/axiom-asia-completes-usd16b-fundraise,2026-09-19
Axiom Asia Private Capital,State Teachers Retirement System of Ohio,US,"Axiom Asia 6, L.P.",,2020,trade press,Yes,State Teachers' Retirement System of Ohio,1,5,,,https://www.avcj.com/avcj/news/3021964/axiom-closes-latest-asia-fund-of-funds-at-usd18b,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia Private Capital Fund III, L.P.",,,public holdings schedule,Yes,Michigan State University Endowment,2,4,,,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/SMIB/2026/SMIB-Report-3252026.pdf?rev=c4a2bf01330247bebd3e3e6691d6361f,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia IV, L.P.",,,public holdings schedule,Yes,Michigan State University Endowment,2,4,,,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/SMIB/2026/SMIB-Report-3252026.pdf?rev=c4a2bf01330247bebd3e3e6691d6361f,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia V, L.P.",,,public holdings schedule,Yes,Michigan State University Endowment,2,4,,,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/SMIB/2026/SMIB-Report-3252026.pdf?rev=c4a2bf01330247bebd3e3e6691d6361f,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia 6, L.P.",,,public holdings schedule,Yes,Michigan State University Endowment,2,4,,,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/SMIB/2026/SMIB-Report-3252026.pdf?rev=c4a2bf01330247bebd3e3e6691d6361f,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia Co-Investment Fund I, L.P.",,,public holdings schedule,Yes,Michigan State University Endowment,2,4,,,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/SMIB/2026/SMIB-Report-3252026.pdf?rev=c4a2bf01330247bebd3e3e6691d6361f,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia Co-Investment Fund II, L.P.",,,public holdings schedule,Yes,Michigan State University Endowment,2,4,,,https://www.michigan.gov/treasury/-/media/Project/Websites/treasury/SMIB/2026/SMIB-Report-3252026.pdf?rev=c4a2bf01330247bebd3e3e6691d6361f,2026-09-19
Axiom Asia Private Capital,"State of Michigan Retirement Systems (Michigan Department of Treasury, Bureau of Investments)",US,"Axiom Asia V, L.P.",,2018,trade press,Yes,Michigan State University Endowment,2,4,,,https://www.avcj.com/avcj/news/3013096/axiom-asia-completes-usd16b-fundraise,2026-09-19
Axiom Asia Private Capital,Stuart Foundation,US,not named in source,,,Preqin or Dakota,Yes,Stuart Foundation,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Texas A&M University System,US,not named in source,,,Preqin or Dakota,Yes,Texas A&M University System,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,The J. Paul Getty Trust,US,AXIOM ASIA PRIVATE CAPITAL 1,13.18,2013,public holdings schedule,Yes,J. Paul Getty Trust,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/951/951790021/951790021_201306_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The J. Paul Getty Trust,US,AXIOM ASIA PRIVATE CAPITAL II,8.08,2013,public holdings schedule,Yes,J. Paul Getty Trust,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/951/951790021/951790021_201306_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The J. Paul Getty Trust,US,AXIOM ASIA PRIVATE CAP FND III,0.46,2013,public holdings schedule,Yes,J. Paul Getty Trust,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/951/951790021/951790021_201306_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The James Irvine Foundation,US,AXIOM ASIA PRIVATE CAPITAL,0.93,2013,public holdings schedule,Yes,James Irvine Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/941/941236937/941236937_201312_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The James Irvine Foundation,US,AXIOM ASIA PRIVATE CAPITAL 1,3.58,2013,public holdings schedule,Yes,James Irvine Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/941/941236937/941236937_201312_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The James Irvine Foundation,US,AXIOM ASIA 2,4.44,2013,public holdings schedule,Yes,James Irvine Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/941/941236937/941236937_201312_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Joyce Foundation,US,Axiom Asia Priv Cap Fd IV,7.13,2018,public holdings schedule,Yes,Joyce Foundation,1,5,,Not public.,https://990s.foundationcenter.org/990pf_pdf_archive/366/366079185/366079185_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Joyce Foundation,US,Axiom Asia Priv Cap Fund V LP,,2018,public holdings schedule,Yes,Joyce Foundation,1,5,,Not public.,https://990s.foundationcenter.org/990pf_pdf_archive/366/366079185/366079185_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Joyce Foundation,US,Axiom Asia Co-Investment Fund,,2018,public holdings schedule,Yes,Joyce Foundation,1,5,,Not public.,https://990s.foundationcenter.org/990pf_pdf_archive/366/366079185/366079185_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Joyce Foundation,US,Axiom Asia Private Cap Fd II,,2018,public holdings schedule,Yes,Joyce Foundation,1,5,,Not public.,https://990s.foundationcenter.org/990pf_pdf_archive/366/366079185/366079185_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Joyce Foundation,US,Axiom Asia Private Capital III,,2018,public holdings schedule,Yes,Joyce Foundation,1,5,,Not public.,https://990s.foundationcenter.org/990pf_pdf_archive/366/366079185/366079185_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Skillman Foundation,US,AXIOM ASIA,,2018,public holdings schedule,Yes,Skillman Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/381/381675780/381675780_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Skillman Foundation,US,AXIOM ASIA II,,2018,public holdings schedule,Yes,Skillman Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/381/381675780/381675780_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Skillman Foundation,US,AXIOM ASIA III,,2018,public holdings schedule,Yes,Skillman Foundation,2,3,,,https://990s.foundationcenter.org/990pf_pdf_archive/381/381675780/381675780_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,The Sobrato Family Foundation,US,AXIOM ASIA PRIVATE CAPITAL FUND III,4.14,2018,public holdings schedule,Yes,Sobrato Family Foundation,3,2,,,https://990s.foundationcenter.org/990pf_pdf_archive/770/770348912/770348912_201812_990PF.pdf,2026-09-19
Axiom Asia Private Capital,TransGlobe Life Insurance,Taiwan,not named in source,,,Preqin or Dakota,Yes,TransGlobe Life Insurance,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Tredje AP-fonden (AP3),Sweden,Axiom Asia II,13,2009,public holdings schedule,No,,,,,,https://a.storyblok.com/f/257759/x/b625de958c/ap3-private-equity-holdings-june30-2026.pdf,2026-09-19
Axiom Asia Private Capital,Tredje AP-fonden (AP3),Sweden,Axiom Asia IV,40,2016,public holdings schedule,No,,,,,,https://a.storyblok.com/f/257759/x/b625de958c/ap3-private-equity-holdings-june30-2026.pdf,2026-09-19
Axiom Asia Private Capital,Tredje AP-fonden (AP3),Sweden,Axiom Asia V,50,2018,public holdings schedule,No,,,,,,https://a.storyblok.com/f/257759/x/b625de958c/ap3-private-equity-holdings-june30-2026.pdf,2026-09-19
Axiom Asia Private Capital,Tredje AP-fonden (AP3),Sweden,Axiom Asia 6,50,2021,public holdings schedule,No,,,,,,https://a.storyblok.com/f/257759/x/b625de958c/ap3-private-equity-holdings-june30-2026.pdf,2026-09-19
Axiom Asia Private Capital,"TriHealth, Inc. Retirement Plan",US,not named in source,,,Preqin or Dakota,Yes,"TriHealth, Inc. Retirement Plan",3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,"TriHealth, Inc. Retirement Plan",US,AXIOM ASIA PRIVATE CAPITAL FUND III,,2023,public holdings schedule,Yes,"TriHealth, Inc. Retirement Plan",3,2,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/09/15/20250915153003NAL0000769299001.pdf,2026-09-19
Axiom Asia Private Capital,UPMC Health System,US,not named in source,,,Preqin or Dakota,Yes,UPMC Health System,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,UPMC Retirement Plan,US,not named in source,,,Preqin or Dakota,Yes,UPMC Retirement Plan,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Union Carbide Employees' Pension Plan,US,not named in source,,,Preqin or Dakota,Yes,Union Carbide Employees' Pension Plan,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Union Carbide Employees' Pension Plan,US,AXIOM ASIA PRIVATE CAPITAL FUND I,0.002,2024,public holdings schedule,Yes,Union Carbide Employees' Pension Plan,3,2,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/10/09/20251009132114NAL0003603603001.pdf,2026-09-19
Axiom Asia Private Capital,Union Carbide Employees' Pension Plan,US,AXIOM ASIA PRIVATE CAPITAL FUND I,,2014,public holdings schedule,Yes,Union Carbide Employees' Pension Plan,3,2,,,https://www.documentcloud.org/documents/3038557-Union-Carbide-Pension-2014/,2026-09-19
Axiom Asia Private Capital,University of Denver Endowment,US,not named in source,,,Preqin or Dakota,Yes,University of Denver Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,University of Notre Dame Employees' Pension Plan,US,Axiom Asia III (Pension),1.43,2024,public holdings schedule,Yes,University of Notre Dame Pension Plan,2,4,,,https://efast2-filings-public.s3.amazonaws.com/prd/2026/04/14/20260414152501NAL0024661328002.pdf,2026-09-19
Axiom Asia Private Capital,University of Notre Dame Employees' Pension Plan,US,Axiom Asia IV,1.87,2024,public holdings schedule,Yes,University of Notre Dame Pension Plan,2,4,,,https://efast2-filings-public.s3.amazonaws.com/prd/2026/04/14/20260414152501NAL0024661328002.pdf,2026-09-19
Axiom Asia Private Capital,University of Notre Dame Employees' Pension Plan,US,Axiom Asia V (Pension),1.82,2024,public holdings schedule,Yes,University of Notre Dame Pension Plan,2,4,,,https://efast2-filings-public.s3.amazonaws.com/prd/2026/04/14/20260414152501NAL0024661328002.pdf,2026-09-19
Axiom Asia Private Capital,University of Notre Dame Employees' Pension Plan,US,Axiom Asia VI (Pension),1.35,2024,public holdings schedule,Yes,University of Notre Dame Pension Plan,2,4,,,https://efast2-filings-public.s3.amazonaws.com/prd/2026/04/14/20260414152501NAL0024661328002.pdf,2026-09-19
Axiom Asia Private Capital,University of Notre Dame Pension Plan,US,not named in source,,,Preqin or Dakota,Yes,University of Notre Dame Pension Plan,2,4,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,University of Oklahoma Foundation,US,not named in source,,,Preqin or Dakota,Yes,University of Oklahoma Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,"University of Oklahoma Foundation, Inc.",US,Axiom Asia Private Capital Fund,,,annual report,Yes,University of Oklahoma Foundation,2,3,,,https://www.documentcloud.org/documents/435436-ou-foundation/,2026-09-19
Axiom Asia Private Capital,University of Oregon Foundation,US,not named in source,,,Preqin or Dakota,Yes,University of Oregon Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,University of Pittsburgh Endowment,US,not named in source,,,Preqin or Dakota,Yes,University of Pittsburgh Endowment,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,Veritas Pension Insurance Company,Finland,not named in source,,,Preqin or Dakota,Yes,Veritas Pension Insurance Company,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,West Midlands Pension Fund,UK,Axiom Asia PCF II,,,annual report,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
Axiom Asia Private Capital,West Midlands Pension Fund,UK,Axiom Asia PCF II,,2025,annual report,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
Axiom Asia Private Capital,West Midlands Pension Fund,UK,Axiom Asia PCF II,,2024,annual report,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2025/09/WestMidlands_final2324-2.pdf,2026-09-19
Axiom Asia Private Capital,West Midlands Pension Fund,UK,not named in source,,2022,annual report,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2025/09/WestMidlands2022-1.pdf,2026-09-19
Axiom Asia Private Capital,White & Case LLP Master Retirement Trust,US,not named in source,,,Preqin or Dakota,Yes,White & Case LLP Master Retirement Trust,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,White & Case LLP Master Retirement Trust,US,AXIOM ASIA V LIMITED PARTNERSHIP,7.09,2024,public holdings schedule,Yes,White & Case LLP Master Retirement Trust,3,2,,,https://efast2-filings-public.s3.amazonaws.com/prd/2025/10/09/20251009081732NAL0006280433001.pdf,2026-09-19
Axiom Asia Private Capital,William Caspar Graustein Memorial Fund,US,not named in source,,,Preqin or Dakota,Yes,William Caspar Graustein Memorial Fund,3,2,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Axiom Asia Private Capital,William Caspar Graustein Memorial Fund,US,AXIOM ASIA IV,0.3,2017,public holdings schedule,Yes,William Caspar Graustein Memorial Fund,3,2,,,https://990s.foundationcenter.org/990pf_pdf_archive/046/046037391/046037391_201712_990PF.pdf,2026-09-19
Axiom Asia Private Capital,William and Flora Hewlett Foundation,US,not named in source,,,Preqin or Dakota,Yes,William and Flora Hewlett Foundation,2,3,,,"https://www.preqin.com/ (client-supplied export: sources/pavilion_seviora_20260913/2026.09.14 - Axiom Asia LPs - Preqin_Investor_export.xlsx, read 2026-09-19)",2026-09-19
Capital Dynamics,Surrey Pension Fund,United Kingdom,not named in source,,2025,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/11/Surrey2425_draft.pdf,2026-09-19
Capital Dynamics,West Midlands Pension Fund,United Kingdom,Capital Dynamics Asia,,2025,public holdings schedule,Yes,West Midlands Pension Fund,3,2,,,https://lgpsboard.org/wp-content/uploads/2026/03/WestMidlands2425_final.pdf,2026-09-19
Capital Dynamics,West Midlands Pension Fund,United Kingdom,not named in source,,2008,trade press,Yes,West Midlands Pension Fund,3,2,,,https://www.ipe.com/capital-dynamics-wins-west-midlands-mandate/29566.article,2026-09-19
Foundation Private Equity,Tikehau Capital,France,Foundation Private Equity Fund 1,,2023,annual report,No,,,,,,https://www.tikehaucapital.com/~/media/Files/T/Tikehau-Capital-V2/documents/regulatory-information/2023-en/universal-registration-document-2023-including-the-annual-financial-report.pdf,2026-09-19
GCM Grosvenor,Nest Sammelstiftung,Switzerland,not named in source. The Geschaeftsbericht 2025 places the private-equity buying decision with GCM Grosvenor and Unigestion; the whole private-equity book is CHF 251.9m.,,2025,annual report,No,,,,,,https://www.nest-info.ch/fileadmin/userdaten/bilder/07_service_center/Publikationen_DE/Nest_GB25_DE_final.pdf,2026-09-19
GCM Grosvenor,Public Officials Benefit Association (POBA),South Korea,"USD 300m infrastructure separate account, not a private-equity vehicle. Recorded because it evidences a Korean institution buying GCM Grosvenor multi-manager product.",300,2021,trade press,Yes,"Pension Fund Association (PFA, Kosei Nenkin Kikin Rengokai)",2,4,Shuzo Takahashi ; Taro Morimoto ; Daisuke Hamaguchi,not found - PFA screens managers itself through its published Manager Entry System rather than through a named external gatekeeper,https://www.kedglobal.com/pension-funds/newsView/ked202107170001,2026-09-19
GCM Grosvenor,Stichting Ahold Delhaize Pensioen,Netherlands,"not named in source. The 2025 jaarverslag records the whole private-equity allocation as delegated to one appointed multi-manager, GCM Grosvenor.",,2025,annual report,No,,,,,,https://www.aholddelhaizepensioen.nl/-/media/Files/Aholddelhaize/adp-jaarverslag-2025.pdf,2026-09-19
Hamilton Lane,Fondazione ENPAM,Italy,not named in source; the 2025 bilancio consuntivo names Hamilton Lane alongside Pantheon and HarbourVest in the private-markets holdings,,2025,annual report,No,,,,,,https://www.enpam.it/wp-content/uploads/Bilancio-consuntivo-2025.pdf,2026-09-19
Hamilton Lane,"Forsta AP-fonden (AP1), wound up 31 December 2025",Sweden,Hamilton Lane global separate accounts; the 31 December 2025 unlisted holdings list names Hamilton Lane and no Asia vehicle,,2025,public holdings schedule,No,,,,,,https://www.ap4.se/globalassets/dokument/ap1/onoterade-innehav/ap1-innehav-onoterade-31-dec-2025a.pdf,2026-09-19
Hamilton Lane,Fresno County Employees Retirement Association (FCERA),United States,Hamilton Lane discretionary private equity programme; Asia vehicle not named in source,,2024,board or committee minutes,Yes,Fresno County Employees Retirement Association (FCERA),3,2,Ilene Levinson,Hamilton Lane - DISCRETIONARY private-equity advisor (the real gatekeeper for any PE fund commitment). Aksia for private credit. General investment consultant NEPC/Verus - the Feb 2024 board vote deadlocked 4-4 and the winner should be confirmed before outreach.,https://content.fcera.gov/wp-content/uploads/2024/02/Item-17-Investment-Performance-Review.pdf,2026-09-18
Hamilton Lane,Illinois State Board of Investment (ISBI),United States,Hamilton Lane Advisors discretionary strategic-partner separate account; Asia vehicle not named in source,,2025,annual report,Yes,Illinois State Board of Investment (ISBI),3,1,Dipesh Mehta ; David Schneider,"The four discretionary strategic partners ARE the gatekeepers, not advisers: Hamilton Lane Advisors, Franklin Park Associates, The Rock Creek Group, HighVista Strategies. For a pan-Asia PE fund the two that matter are Hamilton Lane and Franklin Park.",https://www.auditor.illinois.gov/Audit-Reports/Compliance-Agency-List/Retirement-Systems/ISBI/FY25-ISBI-Fin-Full.pdf,2026-09-18
Hamilton Lane,Public Employee Retirement System of Idaho (PERSI),United States,Hamilton Lane commingled vehicles and a Hamilton Lane separate account; Asia vehicle not named in source,,2025,public holdings schedule,No,,,,,,https://www.persi.idaho.gov/docs/investments/HamiltonLane-2025-3Q-PE.pdf,2026-09-18
Hamilton Lane,TTC Pension Plan (Toronto Transit Commission),Canada,not named in source; Hamilton Lane is the named external private-markets relationship,,2023,trade press,No,,,,,,https://www.top1000funds.com/2023/08/canadas-ttcpp-the-new-kid-on-the-block/,2026-09-19
Hamilton Lane,The Guardian Life Insurance Company of America,United States,"Hamilton Lane discretionary private equity mandate, global, no Asia vehicle named in source",5000,2026,manager press release,Yes,The Guardian Life Insurance Company of America,3,1,Nicholas (Nick) Liolis ; Maurice Gordon ; Andrew McMahon,"Hamilton Lane, from 6 January 2026 - not a consultant but a discretionary manager of the private equity portfolio and the recipient of ~US$500m a year of new commitments for ten years. Erik Hirsch, Co-CEO, described it as a test of the firm's Insurance Solutions platform. This is the gatekeeper, and it is a gatekeeper with its own competing Asia product.",https://www.hamiltonlane.com/en-us/news/guardian-life-insurance-transaction,2026-09-19
Hamilton Lane,The Guardian Life Insurance Company of America,United States,"Hamilton Lane discretionary new-commitment programme, approximately USD 500m a year for ten years, covering primaries, co-investment and secondaries",500,2026,manager press release,Yes,The Guardian Life Insurance Company of America,3,1,Nicholas (Nick) Liolis ; Maurice Gordon ; Andrew McMahon,"Hamilton Lane, from 6 January 2026 - not a consultant but a discretionary manager of the private equity portfolio and the recipient of ~US$500m a year of new commitments for ten years. Erik Hirsch, Co-CEO, described it as a test of the firm's Insurance Solutions platform. This is the gatekeeper, and it is a gatekeeper with its own competing Asia product.",https://www.hamiltonlane.com/en-us/news/guardian-life-insurance-transaction,2026-09-19
HarbourVest Partners,Air Canada Pension Plan,Canada,HarbourVest Air Canada Fund L.P.,,2025,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,Amitim Senior Pension Funds,Israel,HarbourVest Amitim Fund L.P. and HV Amitim Uniform Holdings LLC,,2025,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,British Columbia Investment Management Corporation (BCI),Canada,"HarbourVest International Private Equity Partners VI - Cayman Asia Pacific Fund, LP",,2017,public holdings schedule,Yes,British Columbia Investment Management Corporation,3,2,,Not applicable — BCI invests in-house.,https://www.bci.ca/wp-content/uploads/2018/02/investmentinventory2017-privateequity.pdf,2026-09-19
HarbourVest Partners,California State Teachers' Retirement System (CalSTRS),United States,"CalSTRS Lower Middle Market Fund IV, V, VI and VII",,2025,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,DENSO Corporation,Japan,DENSO HV PEP L.P. and DENSO HV PEP II L.P.,,2025,SEC Form D,No,,,,,,https://www.sec.gov/Archives/edgar/data/2020407/000119312525191096/d74034d40appa.htm,2026-09-19
HarbourVest Partners,Imperial County Employees' Retirement System (ICERS),United States,HarbourVest International Private Equity Partners VI-Partnership Fund L.P.,,2023,board or committee minutes,No,,,,,,https://imperial.granicus.com/MetaViewer.php?view_id=2&event_id=2088&meta_id=404614,2026-09-19
HarbourVest Partners,London Borough of Lewisham Pension Fund,United Kingdom,HIPEP IX AIF SCSp,25.0,2020,annual report,No,,,,,,https://lgpsboard.org/wp-content/uploads/2025/09/Lewisham2021-1.pdf,2026-09-19
